urutan,jenis_file_upload,contoh_file,modul_sumber,file_target_utama,dampak_ke_modul_lain,aturan_main,status_default,catatan
1,CK-1,file CK1 / data CK-1,Pita Cukai,browse_pita_cukai.csv,"Pita Cukai, P3C/KPPBC, Dashboard","CK-1 adalah debet pita masuk. SPPR tidak menambah pita. Cocokkan nomor CK-1, HJE, isi, lembar, keping, tanggal lunas.",VALID AWAL,"Naik VALID FINAL hanya saat dokumen lengkap atau tutup siklus akhir bulan."
2,Sisa Pita KPPBC,file sisa pita KPPBC,Pita Cukai,stok_kppbc_valid_awal_2026.csv,"Pita Cukai, Saldo P3C/KPPBC, Rekonsiliasi Pita","Saldo KPPBC/P3C adalah stok di pusat, belum otomatis menjadi saldo pabrik. Pisahkan lembar dan keping.",VALID AWAL,"Perlu export/screenshot resmi untuk final."
3,P3C,file P3C,Pita Cukai,stok_kppbc_valid_awal_2026.csv,"Pita Cukai, CK-1, Rekonsiliasi Pita","P3C menjadi dasar ketersediaan pita di pusat. Belum menambah saldo pabrik sebelum CK-1/pita masuk.",VALID AWAL,"Jangan campur P3C dengan saldo pabrik."
4,Produksi Harian Giling,file giling harian,Produksi,browse_giling.csv,"Produksi, WIP, Upah Produksi","Giling adalah WIP. Tidak otomatis menambah Barang Jadi, tidak otomatis CK4C, dan tidak otomatis mengurangi pita.",VALID AWAL,"Pisahkan normal/lembur, tarif, dan status sumber."
5,Produksi Harian Verpack,file verpack/packing harian,Produksi,browse_verpack.csv,"Barang Jadi, Pita Cukai CK4C, Upah Produksi, Dashboard","Verpack adalah dasar barang jadi dan dasar pemakaian pita jika status masuk stok BJ dan pemakaian pita YA.",VALID AWAL,"TUD/sample tidak dicampur stok reguler."
6,Pemakaian Pita,file pemakaian pita,Pita Cukai,browse_pita_cukai.csv,"Produksi, CK4C, Barang Jadi, Rekonsiliasi Pita","Pemakaian pita adalah kredit pita/CK4C. Cocokkan dengan verpack, merek, HJE, isi, jumlah keping.",VALID AWAL,"Jika belum cocok dengan verpack, beri PERLU KONFIRMASI."
7,PO,file PO,PO & Skema Produksi,po/skema produksi,"Produksi, Barang Jadi, DO/SJ","PO belum menjadi piutang dan belum mengurangi stok. PO hanya kebutuhan/target kirim sampai ada DO/SJ resmi.",VALID AWAL,"Jika PO dan SJ berbeda, tandai PERLU KONFIRMASI."
8,Surat Jalan / DO,file surat jalan DO,DO/SJ,browse_surat_jalan.csv,"Barang Jadi, Piutang/Distributor, Dashboard","DO/SJ mengurangi Barang Jadi dan menjadi dasar piutang, kecuali TUD/sample/non-piutang.",VALID AWAL,"Cek nomor SJ, tanggal, customer, merek, qty, harga, invoice, potensi dobel."
9,Pembayaran Masuk,file mutasi bank / bukti transfer,Distributor / Pasar,ledger piutang/pembayaran,"Piutang, Distributor/Pasar, Laporan Owner","Pembayaran mengurangi piutang setelah cocok dengan customer, nominal, rekening, tanggal, dan invoice/DO.",VALID AWAL,"Jika belum cocok mutasi/bukti, jangan final."
10,Stock Barang Jadi,file stock opname / stok barang jadi,Barang Jadi,browse_barang_jadi.csv,"Barang Jadi, Rekonsiliasi Barang Jadi, Produksi, DO/SJ","Stock opname menjadi pengunci saldo akhir saat cut-off. Selisih aplikasi vs opname masuk penyesuaian saldo awal bulan.",VALID AWAL,"VALID FINAL saat tutup siklus akhir bulan atau keputusan owner pada cut-off."
11,Tutup Siklus Akhir Bulan,rekap seluruh modul,Semua Modul,validasi_mei_2026.csv,"Semua menu utama","Keputusan owner untuk VALID FINAL hanya berlaku saat tutup siklus akhir bulan. Di luar itu tetap VALID AWAL/PERLU KONFIRMASI/CEK DOBEL.",VALID FINAL - TUTUP SIKLUS,"Jangan membuat data harian otomatis final sebelum cut-off."
