tanggal_cutoff,kode_sku,merek,tipe,masuk_verpack_aplikasi_mei,keluar_sj_reguler_mei,keluar_sample_non_reguler_mei,stock_opname_fisik_pack,konversi_opname,penyesuaian_saldo_awal_mei_pack,saldo_awal_mei_final_pack,saldo_akhir_final_pack,status_rekonsiliasi,catatan
2026-05-30,GCC99-POLOS,GC Coklat 99 Polos,REGULER,398500,96000,0,41000,41 karton,-261500,-261500,41000,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Produksi aplikasi GCC 99 isi 12 masih gabungan warna; dialokasikan sementara ke Polos untuk kontrol debet-kredit. Saldo akhir dikunci sesuai opname."
2026-05-30,GCC99-MERAH,GC Coklat 99 Merah,REGULER,0,345000,0,0,0 karton,345000,345000,0,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Pengeluaran SJ Merah tercatat terpisah; produksi warna belum terpisah di browse_verpack.csv. Selisih dikunci ke saldo awal Mei."
2026-05-30,GCC99-KUNING,GC Coklat 99 Kuning,REGULER,0,0,0,0,0 karton,0,0,0,COCOK OPNAME,"Tidak ada saldo opname dan tidak ada mutasi terpisah yang terbaca."
2026-05-30,REFILL-HITAM,Cengkeh Refill Hitam,REGULER,9450,9420,0,130,"0,22 karton",100,100,130,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Mutasi reguler refill cocok setelah saldo awal Mei disesuaikan. Sample dipisah."
2026-05-30,REFILL-SAMPLE,Cengkeh Refill Sample,SAMPLE / NON REGULER,0,0,50,20,"0,03 karton",70,70,20,SAMPLE TERPISAH / COCOK OPNAME,"Sample/TUD Refill dipisah dari stok reguler dan non-piutang."
2026-05-30,REFILL-ORIGINAL,Cengkeh Refill Original,REGULER,0,0,0,0,0 karton,0,0,0,COCOK OPNAME,"Tidak ada saldo opname dan tidak ada mutasi yang terbaca."
2026-05-30,REFILL-ORIGINAL-SAMPLE,Cengkeh Refill Original Sample,SAMPLE / NON REGULER,0,0,0,0,0 karton,0,0,0,SAMPLE 0,"Tidak ada sample opname dan tidak ada mutasi yang terbaca."
2026-05-30,GC16-BIRU,Gedung Cengkeh 16 Biru / New Gedung Cengkeh Coklat 99 isi 16 Ambree Biru,REGULER,48,25800,0,19950,"33,25 karton",45702,45702,19950,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"New Ambree Biru reguler; sample dipisah. Saldo akhir dikunci sesuai opname."
2026-05-30,GC16-SAMPLE,Gedung Cengkeh 16 Sample,SAMPLE / NON REGULER,0,0,600,250,"0,42 karton",850,850,250,SAMPLE TERPISAH / COCOK OPNAME,"Sample New Ambree Biru dipisah dari stok reguler dan non-piutang."
2026-05-30,GC16-KUNING,Gedung Cengkeh 16 Kuning,REGULER,124000,24000,0,0,0 karton,-100000,-100000,0,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Produksi Ambree Kuning terbaca besar tetapi stock opname 0; selisih dikunci ke saldo awal Mei untuk audit."
2026-05-30,GC16-KUNING-SAMPLE,Gedung Cengkeh 16 Kuning Sample,SAMPLE / NON REGULER,0,0,0,0,0 karton,0,0,0,SAMPLE 0,"Tidak ada sample opname dan tidak ada mutasi yang terbaca."
2026-05-30,CB77-12,Cengkeh Biru 77 isi 12,REGULER,3000,18000,0,0,0 karton,15000,15000,0,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Stock opname 0; selisih dari debit-kredit masuk saldo awal Mei."
2026-05-30,CB77-12-SAMPLE,Cengkeh Biru 77 isi 12 Sample,SAMPLE / NON REGULER,0,0,200,0,0 karton,200,200,0,SAMPLE TERPISAH / COCOK OPNAME,"Sample Rendra dipisah dari reguler; saldo opname sample isi 12 = 0."
2026-05-30,CB77-16,Cengkeh Biru 77 isi 16,REGULER,5000,11400,0,0,0 karton,6400,6400,0,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Stock opname 0; selisih dari debit-kredit masuk saldo awal Mei."
2026-05-30,CB77-16-SAMPLE,Cengkeh Biru 77 isi 16 Sample,SAMPLE / NON REGULER,0,0,0,50,"0,08 karton",50,50,50,SAMPLE TERPISAH / COCOK OPNAME,"Sample isi 16 tersedia fisik 50 pack dan dipisah dari reguler."
2026-05-30,GCNEW16-NEW16,GC New 16 / New Gedung Cengkeh Coklat 99 isi 16,REGULER,189550,292200,0,27330,"45,55 karton",129980,129980,27330,COCOK OPNAME / SELISIH MASUK SALDO AWAL,"Masuk verpack gabungan dari GCC 99 isi 16 lama + Gedung Cengkeh 16 New; saldo akhir dikunci sesuai opname."
2026-05-30,GCNEW16-SAMPLE,GC New 16 Sample,SAMPLE / NON REGULER,0,0,200,0,0 karton,200,200,0,SAMPLE TERPISAH / COCOK OPNAME,"Sample New GCC 99 isi 16 dipisah dan opname akhir 0."
2026-05-30,BAL9,BAL 9,REGULER,0,0,0,0,0 karton,0,0,0,COCOK OPNAME,"Tidak ada saldo opname dan tidak ada mutasi yang terbaca."
2026-05-30,BAL9-SAMPLE,BAL 9 Sample,SAMPLE / NON REGULER,0,0,0,0,0 karton,0,0,0,SAMPLE 0,"Tidak ada sample opname dan tidak ada mutasi yang terbaca."
