tanggal,hari,bagian,produk,jenis_data,jumlah_unit,satuan_unit,tarif,total_upah,status_validasi,catatan
2026-05-14,KAMIS,VERPACK,Gedung Cengkeh Coklat 99 isi 12,PACK PACING,56000,pack,170,9520000,VALID AWAL,"Verpack/pacing; tanggal perlu cocok dengan pemakaian pita."
2026-05-16,SABTU,GILING,Gedung Cengkeh Coklat 99 isi 12,BATANG GILING,509000,batang,40,20360000,VALID AWAL,"Giling/WIP, bukan barang jadi dan bukan CK4C."
2026-05-16,SABTU,GILING,Cengkeh Biru 77 isi 12,BATANG GILING,12200,batang,40,488000,VALID AWAL,"Giling/WIP; mapping Cengkeh Biru 12 terkunci HJE 10.325 untuk cukai."
2026-05-16,SABTU,GILING,Cengkeh Biru 77 isi 16,BATANG GILING,29200,batang,42,1226400,VALID AWAL,"Giling/WIP; mapping Cengkeh Biru 16 terkunci HJE 13.775 untuk cukai."
2026-05-18,SENIN,GILING,Gedung Cengkeh Coklat 99 isi 12,BATANG GILING,500500,batang,40,20020000,VALID AWAL,"Giling/WIP, bukan barang jadi dan bukan CK4C."
2026-05-18,SENIN,GILING,New Gedung Cengkeh Coklat 99 isi 16,BATANG GILING,10000,batang,42,420000,VALID AWAL,"Giling/WIP, bukan barang jadi dan bukan CK4C."
2026-05-18,SENIN,VERPACK,New Gedung Cengkeh Coklat 99 isi 16,PACK PACING,21600,pack,210,4536000,VALID AWAL DENGAN PENYESUAIAN,"Pacing/upah 21.600 pack; official pita sebelumnya 21.000 pack karena 600 pack TUD tidak memakai pita."
2026-05-19,SELASA,GILING,Gedung Cengkeh Coklat 99 isi 12,BATANG GILING,554000,batang,40,22160000,VALID AWAL,"Giling/WIP, bukan barang jadi dan bukan CK4C."
2026-05-19,SELASA,VERPACK,New Gedung Cengkeh Coklat 99 isi 16,PACK PACING,36000,pack,210,7591500,PERLU CEK GAJI,"Gaji input Rp7.591.500; standar Rp7.560.000; selisih Rp31.500 pada baris VERA."
2026-05-20,RABU,GILING,Gedung Cengkeh Coklat 99 isi 12,BATANG GILING,255500,batang,40,10220000,VALID AWAL,"Giling/WIP, bukan barang jadi dan bukan CK4C."
2026-05-20,RABU,GILING,New Gedung Cengkeh Coklat 99 isi 16,BATANG GILING,308400,batang,42,12952800,VALID AWAL,"Giling/WIP, bukan barang jadi dan bukan CK4C."
2026-05-20,RABU,VERPACK,New Gedung Cengkeh Coklat 99 isi 16,PACK PACING,33800,pack,210,7098000,VALID AWAL / OFFICIAL PITA,"Sudah cocok dengan file Pemakaian Pita terbaru: 33.800 pack."
2026-05-21,KAMIS,GILING,Gedung Cengkeh Coklat 99 isi 12,BATANG GILING,465700,batang,40,18628000,VALID AWAL / PERLU CEK LAPANGAN,"Data giling 21 Mei terbaca dari workbook; cek lapangan jika sebelumnya dianggap belum ada giling."
2026-05-21,KAMIS,VERPACK,New Gedung Cengkeh Coklat 99 isi 16,PACK PACING,33200,pack,210,6972000,VALID AWAL / OFFICIAL PITA,"Sudah masuk file Pemakaian Pita terbaru sebagai pemakaian pita 21 Mei."
