group_menu,nama_menu,file_sumber,status_update_21_mei,status_checker,temuan,tindakan_disarankan,prioritas
Owner Control,Dashboard,app.js dashboard,BELUM SINKRON 21 MEI,PERLU UPDATE,"Teks dashboard masih menyebut cutoff 20 Mei dan 21 Mei belum ada verpack official, padahal data verpack/pita 21 Mei sudah masuk di modul khusus.",Update teks dashboard dan kartu ringkasan agar membaca update 21 Mei,TINGGI
Owner Control,Data Integrity,data_integrity_checklist_v17_5.csv,BELUM DICEK DETAIL,PERLU REVIEW,"Belum diverifikasi apakah aturan dan cutoff sudah mengikuti update 21 Mei.",Cek isi data integrity dan revisi bila masih cutoff 20 Mei,SEDANG
Owner Control,Sumber Data BAL-99,BAL99_BAL77_DATA_MANIFEST.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Manifest sudah diperbarui setelah otomasi menu cukai dan sinkronisasi data pita/CK4C/CSCK-3.",Update ulang setelah produksi/gudang/piutang bawaan disinkronkan,TINGGI
Produksi,Giling Detail,browse_giling.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Menu bawaan Giling Detail sudah membaca data sampai 21 Mei; 21 Mei GCC 99 isi 12 = 465.700 batang.",Pertahankan; giling tetap WIP bukan barang jadi dan bukan CK4C,TINGGI
Produksi,Rekap Giling Harian,rekap_giling_harian_mei_2026.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Rekap giling harian sudah memuat total sampai 21 Mei: 7.921.600 batang dan Rp318.499.200 upah giling.",Pertahankan; cek hanya jika ada koreksi lapangan baru,TINGGI
Produksi,Rekap Giling per Merek,rekap_giling_per_merek_mei_2026.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Rekap giling per merek sudah memuat update sampai 21 Mei, termasuk New GCC 99 isi 16 dan Cengkeh Biru mapping.",Pertahankan,SEDANG
Produksi,Verpack Detail,browse_verpack.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Menu bawaan Verpack Detail sudah membaca data sampai 21 Mei: New GCC 16 21 Mei = 33.200 pack official pita.",Pertahankan; 18 Mei tetap ada penyesuaian TUD 600 pack,TINGGI
Produksi,Rekap Verpack Harian,rekap_verpack_harian_mei_2026.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Rekap verpack harian sudah memuat total sampai 21 Mei: 542.350 pack dan Rp102.842.500 upah verpack.",Pertahankan,TINGGI
Produksi,Rekap Verpack per Merek,rekap_verpack_per_merek_mei_2026.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"Rekap verpack per merek sudah memuat New GCC 99 isi 16 Ambree Kuning 124.000 pack sampai 21 Mei.",Pertahankan,SEDANG
Produksi,Upah Borongan Gabungan,kontrol-upah-produksi.html + upah_giling_verpack_detail_14_21_mei_2026.csv,SUDAH ADA 21 MEI,SUDAH BENAR,"Sudah tersedia lewat shortcut Produksi dan top link halaman utama. Ada cetak PDF dan PNG.",Pertahankan; sambungkan halaman top 10 giling/verpack bila diperlukan,TINGGI
Produksi,Top 10 Giling,top10_giling_batang_14_21_mei_2026.csv,SUDAH ADA 21 MEI,VALID AWAL,"Top 10 giling sudah dipisahkan berdasarkan batang.",Tampilkan di halaman top tenaga kerja dan cek ID/nama sebelum final,SEDANG
Produksi,Top 10 Verpack,top10_verpack_pack_14_21_mei_2026.csv,SUDAH ADA 21 MEI,VALID AWAL,"Top 10 verpack sudah dipisahkan berdasarkan pack.",Tampilkan di halaman top tenaga kerja dan cek ID/nama sebelum final,SEDANG
Gudang,Barang Jadi,browse_barang_jadi.csv,BELUM SINKRON 21 MEI,PERLU UPDATE,"Menu bawaan masih posisi 20 Mei; belum mengunci hasil verpack 21 Mei dan pengeluaran SJ126 secara final.",Update stok barang jadi global setelah cek SJ126 dobel dan laporan gudang 21 Mei,TINGGI
Gudang,Stock Pasar,browse_stok_pasar.csv,BELUM DICEK DETAIL,PERLU REVIEW,"Belum diverifikasi dengan update piutang/retur PSP-PMS terbaru.",Cek apakah stok pasar Khoirul/PSP/PMS perlu koreksi,RENDAH
Cukai,CK4C,browse_ck4c.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"browse_ck4c.csv sudah mengikuti CSCK-3 21 Mei: PITA16 kredit 251.900 saldo akhir 75.200; menu juga diarahkan otomatis ke CK4C Detail Produksi.",Pertahankan; cocokkan saldo fisik pita dan CK4C final sebelum valid final,TINGGI
Cukai,CSCK-3 Koreksi,csck3_koreksi_data.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"PITA16 kredit 251.900 dan saldo akhir 75.200 sudah sinkron.",Pertahankan; cocokkan saldo fisik pita untuk valid final,TINGGI
Cukai,CSCK-3 Full,csck3_matrix_full_part2.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"PITA16 20 Mei 33.800; 21 Mei 33.200; saldo akhir 75.200.",Pertahankan; cocokkan CK4C final dan fisik pita,TINGGI
Cukai,Pita Cukai,browse_pita_cukai.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"browse_pita_cukai.csv sudah detail sampai 21 Mei: PITA16 18 Mei 21.000; 19 Mei 36.000; 20 Mei 33.800; 21 Mei 33.200; saldo 75.200.",Pertahankan; cocokkan saldo fisik pita,TINGGI
Cukai,Billing Cukai,browse_billing_cukai.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"CK-1 ditandai sebagai debet/penerimaan CSCK-3; SPPR ditandai sebagai pajak rokok dan tidak menambah pita.",Pertahankan; cocokkan BPN dan arsip SPPR,TINGGI
Cukai,Saldo Pita Turunan,saldo_pita_18_mei_2026_update.csv + saldo_pita_setelah_ck1_18_mei_2026.csv,SUDAH SINKRON 21 MEI,SUDAH BENAR,"File saldo turunan sudah mengikuti rumus saldo awal + debet CK1 - kredit CK4C = saldo akhir Excel.",Pertahankan; nama file lama tetap diberi catatan arsip jika perlu,SEDANG
Distribusi & Pasar,DO / Surat Jalan,browse_surat_jalan.csv,BELUM SINKRON 21 MEI,PERLU UPDATE,"SJ126 Tri Sukma Aji sudah file teknis, tetapi menu bawaan DO/SJ belum pasti memuat SJ126.",Tambahkan SJ126 ke browse_surat_jalan setelah cek dobel,TINGGI
Distribusi & Pasar,Pembayaran / Piutang,browse_pembayaran_piutang.csv,BELUM SINKRON 21 MEI,PERLU UPDATE,"Piutang Khoirul sinkron Pak Mamat, Usup/Karmin, dan Aji SJ126 sudah ada di file khusus tetapi menu bawaan belum tentu membaca semuanya.",Update browse_pembayaran_piutang atau buat dashboard piutang gabungan,TINGGI
Distribusi & Pasar,Retur / Komplain,browse_retur_komplain.csv,BELUM SINKRON 21 MEI,PERLU UPDATE,"Retur UD Sarifah Rp25.857.200 memengaruhi alokasi PSP/PMS, perlu masuk menu retur agar tidak hanya ada di catatan piutang.",Tambahkan Retur UD Sarifah sebagai item retur/koreksi alokasi,SEDANG
Distribusi & Pasar,PO,browse_po.csv,BELUM DICEK DETAIL,PERLU REVIEW,"Belum dicek apakah PO terbaru dan SJ126 sudah terkait.",Cek relasi PO Aji vs SJ126,RENDAH
Master,Master Status,master_status.csv,CUKUP STABIL,AMAN SEMENTARA,"Status validasi masih bisa dipakai.",Opsional tambahkan status SINKRON CATATAN dan OFFICIAL PITA,RENDAH
Master,Master Harga Customer,master_harga_customer.csv,BELUM DICEK DETAIL,PERLU REVIEW,"Harga Aji Rp8.500 perlu dipastikan sudah ada di master harga.",Tambahkan/cek harga Tri Sukma Aji Rp8.500 untuk New GCC16,SEDANG
