tanggal_update,po_id,produk,customer,saldo_po_pack,stok_siap_pack_ref,kekurangan_pack_ref,target_kirim,skor_prioritas,prioritas,status_bahan,status_pita,aksi,catatan
2026-05-30,PO-AKTIF-20260529-001,Gedung Cengkeh Coklat 99 isi 12,Padang PMS,80000,10000,70000,,84,PRIORITAS 2,PERLU CEK,PERLU CEK,Volume besar; masuk jadwal produksi 6 hari.,PO aktif Padang PMS; belum menjadi piutang sebelum DO/SJ resmi.
2026-05-30,PO-AKTIF-20260529-002,New Gedung Cengkeh Coklat 99 isi 16,Padang PMS,75000,6980,68020,,84,PRIORITAS 2,PERLU CEK,PERLU CEK,Volume besar; masuk jadwal produksi 6 hari.,Varian New GCC 99 isi 16 perlu dikunci: biru/kuning/standar.
2026-05-30,PO-AKTIF-20260529-003,Gedung Cengkeh Coklat 99 isi 12,Pasar Banten,100000,10000,90000,,82,PRIORITAS 2,PERLU CEK,PERLU CEK,Volume besar; pastikan tidak campur dengan saldo kerja Banten lama.,PO aktif Banten; jangan masuk piutang sebelum SJ baru resmi.
2026-05-30,PO-AKTIF-20260529-004,New Gedung Cengkeh Coklat 99 isi 16,Tri Sukma Aji / Mojokerto,25800,6980,18820,2026-06-01,95,PRIORITAS 1,PERLU CEK,PERLU CEK,Target kirim 01 Juni 2026; cek stok fisik dan siapkan pengiriman.,Gabungan sisa PO 8 karton + PO baru 35 karton; target kirim Senin 01 Juni 2026.
2026-05-30,PO-AKTIF-20260529-005,New Gedung Cengkeh Coklat 99 isi 16,Udho / Jawa Tengah,3150,6980,0,,30,PENDING,TAHAN,TAHAN,Status pending; tahan sampai keputusan final.,PO pending; TUD 5% = 150 pack / 15 slop. Jangan diprioritaskan sebelum keputusan final.
2026-05-30,PO-AKTIF-20260529-006,Gedung Cengkeh Coklat 99 isi 16,Jambi / Yonka,12000,6980,5020,,70,PRIORITAS 3,PERLU CEK,PERLU CEK,Perlu kunci SKU sebelum produksi/kirim.,Perlu konfirmasi apakah SKU sama dengan New GCC 99 isi 16.
2026-05-30,PO-AKTIF-20260529-007,Cengkeh Biru 77 isi 12,Usup Karmin / Bogor,10000,0,10000,,62,PRIORITAS 3,PERLU CEK,PERLU CEK,Stok 0; produksi pendukung setelah prioritas utama.,PO aktif Bogor; belum menjadi piutang.
2026-05-30,PO-AKTIF-20260529-008,Cengkeh Biru 77 isi 12,Rendra / Madiun,5250,0,5250,,60,PRIORITAS 3,PERLU CEK,PERLU CEK,Stok 0 dan ada TUD; masuk produksi pendukung.,TUD 5% eksplisit = 250 pack / 25 slop.
2026-05-30,PO-AKTIF-20260529-009,Cengkeh Biru 16 Bungkus,TSM / Makassar,3000,0,3000,,55,PRIORITAS 3,PERLU CEK,PERLU CEK,Nama SKU perlu konfirmasi; stok 0 jika CB77 isi 16.,PO TSM tertulis 3.000 bungkus; estimasi 5 karton. Konfirmasi apakah sama dengan CB77 isi 16.
2026-05-30,PO-AKTIF-20260529-010,New Gedung Cengkeh Coklat 99 isi 16 TSG Baru Ambree Biru,PSP,18000,19998,0,,88,PRIORITAS 2,PERLU CEK,PERLU CEK,"Stok Ambree Biru repo cukup untuk PO, tetapi perlu cek fisik varian.",Varian Ambree Biru / TSG Baru disebut eksplisit.
